ID,Title,Description,Price,Type
7419434303679,SNS Oud Suyufi,Premium & Elite Oud Oil ,12250,ouds-studio
7419433582783,SNS Oud Malaki Cambodi,Legacy of the Royal Oud Tree ,13400,ouds-studio
7497722986687,Catch 22 - Roll On (10ML),Our #1 Best Seller 🏆,750,attar
7497762177215,Merry Me - Roll On (10ML),#1 Women's Best-Seller 🏆,850,attar
7498713104575,Tipping Point - Roll On (10ML),Our #1 Office Wear! 👔,890,attar
7497732096191,Florse - Roll On (10ML),Our Best Floral Fragrance,780,attar
7498711761087,Smash My Head (EDP) - Roll On (10ML),Our Top Rated Perfume ⭐ ,1490,attar
7498709696703,Romantic Coffee - Roll On (10ML),Our Best Selling Signature Fragrance,1390,attar
7497762832575,Merry Me (2.0) - Roll On (10ML),#1 Women's Best-Seller 🏆,740,attar
7497761030335,Melt Me - Roll On (10ML),The All-Rounder Perfume,980,attar
7497750347967,Living Floral - Roll On (10ML),Most Awarded Women's Fragrance!,690,attar
7497732522175,In My Dreams - Roll On (10ML),Best Selling Green Perfume,890,attar
7497750053055,Lady Eve - Roll On (10ML),The Most Nostalgic Scent,650,attar
7497722036415,Atlantis - Roll On (10ML),Perfect Every-Day Scent,650,attar
7497721610431,Amber Oud - Roll On (10ML),2nd Most Popular Rose & Oud Combo,1190,attar
4671660851285,Cambodi Oud - Roll On (10ML),,2290,attar
4671658524757,Shahi Shamama - Roll On (10ML),,1880,attar
4671655968853,Soul To Keep - Roll On (10ML),,600,attar
7498714153151,XOXO - Roll On (10ML),Bold and Loud,950,attar
7498714054847,Wavy - Roll On (10ML),#2 Sports Wear Perfume,890,attar
7498713825471,Velvet Smooth - Roll On (10ML),2nd Best Selling Oriental Perfume,890,attar
7498713530559,Unshakeable - Roll On (10ML),Our 2nd Most Underrated,690,attar
7498713465023,Undeclared Love - Roll On (10ML),Best Selling Floral Perfume,890,attar
7498712711359,The Legend - Roll On (10ML),Finest Classical - Modern Combo,690,attar
7498712154303,Streets of Cairo - Roll On (10ML),4th Best Selling Aquatic Perfume,850,attar
7498711990463,Stallion - Roll On (10ML),Newest Most Demanded,750,attar
7498711564479,Sky High - Roll On (10ML),3rd Best Selling Aromatic Perfume,750,attar
7498711204031,Scarlet Letter - Roll On (10ML),DNA of 4th Best Selling Oriental Perfume,750,attar
7498711105727,Sand City - Roll On (10ML),Legendary Men's Perfume,750,attar
7498710581439,Samarkand - Roll On (10ML),Our Most Long-Lasting One!,850,attar
7498710384831,Saiful Malook - Roll On (10ML),Most Popular Aquatic Scent!,650,attar
7498709565631,Rain On Me - Roll On (10ML),2nd Best Selling Aquatic Perfume,950,attar
7498709369023,Oudilicious - Roll On (10ML),3rd Best Selling Floral Oriental Perfume,1090,attar
7498709041343,Oud War - Roll On (10ML),Oud with Modern Touch,1090,attar
7497764864191,Othello - Roll On (10ML),Elegance in a bottle!,950,attar
7497764405439,Orchid House - Roll On (10ML),4th Best Selling Soft Oriental Perfume,780,attar
7497763913919,Night Love - Roll On (10ML),Most Under-Rated Women's Fragrance,690,attar
7497763651775,Near You - Roll On (10ML),Top Choice for Gifting 🎁,790,attar
7497762930879,Million Worlds - Roll On (10ML),World's Best Seller DNA,750,attar
